EHDSAddress; ; 0..*; EHDS refined base model for Address structure; ;   ; Address model 
EHDSMedicationObligations; ; 0..*; Logical model for prescribed/dispensed medication. The model is shared by statements, requests, dispensations, and administrations. Each of those may have different restrictions in a FHIR profile. The model is suitable for generic/virtual medications as well as branded/real products. The model aims to have basic alignment with ISO IDMP but it does not cover the full complexity needed for medication registries.; ;   ; Medication model 
EHDSMedicationObligations; Code[x]; 0..*; An identifier (e.g. from EMA SPOR PMS or national registry) or a code (e.g. from SNOMED CT or national code system) for the product (virtual product, branded product, or package). If several identifiers are specified, they shall not have conflicting meanings or very different granularities. An identifier might not exist e.g. for substance-based prescriptions.; CodeableConcept;   ; An identifier (e.g. from EMA SPOR PMS or national registry) or a code (e.g. from SNOMED CT or national code system) for the product (virtual product, branded product, or package). If several identifiers are specified, they shall not have conflicting meanings or very different granularities. An identifier might not exist e.g. for substance-based prescriptions. 
EHDSMedicationObligations; Code[x]; 0..*; An identifier (e.g. from EMA SPOR PMS or national registry) or a code (e.g. from SNOMED CT or national code system) for the product (virtual product, branded product, or package). If several identifiers are specified, they shall not have conflicting meanings or very different granularities. An identifier might not exist e.g. for substance-based prescriptions.; Identifier;   ; An identifier (e.g. from EMA SPOR PMS or national registry) or a code (e.g. from SNOMED CT or national code system) for the product (virtual product, branded product, or package). If several identifiers are specified, they shall not have conflicting meanings or very different granularities. An identifier might not exist e.g. for substance-based prescriptions. 
EHDSMedicationObligations; ion; 0..*; Classification (e.g. ATC, narcotic/psychotropic, orphan drug, etc.); CodeableConcept; WHO ATC (preferred)  ; Classification (e.g. ATC, narcotic/psychotropic; orphan drug; etc.) 
EHDSMedicationObligations; ; 0..1; Current trade name (authorised name) of the product. When medication is specified by a CodeableConcept, the name may be omitted when available as the display name of the concept.; string;   ; Current trade name (authorised name) of the product. When medication is specified by a CodeableConcept, the name may be omitted when available as the display name of the concept. 
EHDSMedicationObligations; thorisationHolder; 0..1; Marketing authorisation holder of the medicinal product. Relevant for identifying the exact product. If the product does not have a marketing authorisation, the manufacturer information may be used.; Base;   ; Marketing authorisation holder of the medicinal product. Relevant for identifying the exact product. If the product does not have a marketing authorisation, the manufacturer information may be used. 
EHDSMedicationObligations; thorisationHolder.organisationName; 0..1; Name of the organisation holding the authorisation for marketing/manufacturing; string;   ; Name of the organisation holding the authorisation for marketing/manufacturing 
EHDSMedicationObligations; thorisationHolder.organisationIdentifier; 0..*; Identifier of the organisation and/or its physical location; Identifier;   ; Identifier of the organisation and/or its physical location 
EHDSMedicationObligations; ; 0..1; Dose form at the package level (e.g. authorised dose form), corresponding to IDMP Combined Pharmaceutical Dose Form (this includes terms from EDQM Combination Pack or Combined Dose Form lists). Dose form for a single package item is defined in item.doseForm.; CodeableConcept; EDQM Standard Terms (preferred)  ; Dose form at the package level (e.g. authorised dose form), corresponding to IDMP Combined Pharmaceutical Dose Form (this includes terms from EDQM Combination Pack or Combined Dose Form lists). Dose form for a single package item is defined in item.doseForm. 
EHDSMedicationObligations; ; 0..1; Textual description of the product, e.g. including package description.; string;   ; Textual description of the product, e.g. including package description. 
EHDSMedicationObligations; ; 0..*; A medication item. For combination packs, this can be multiple manufactured items with each item having its own dose form and ingredients+strengths defined; Base;   ; A medication item. For combination packs, this can be multiple manufactured items with each item having its own dose form and ingredients+strengths defined 
EHDSMedicationObligations; rm; 0..1; Administrable or manufactured item dose form, depending on the type of medication definition. This should not include combined dose forms.; CodeableConcept; EDQM Standard Terms (preferred)  ; Administrable or manufactured item dose form, depending on the type of medication definition. This should not include combined dose forms. 
EHDSMedicationObligations; ient; 1..*; Ingredients; Base;   ; Ingredients 
EHDSMedicationObligations; ient.isActive; 0..1; Marks whether the ingredient is considered an active ingredient. Excipients are typically not needed, and by default only active ingredients are expected.; boolean;   ; Marks whether the ingredient is considered an active ingredient. Excipients are typically not needed, and by default only active ingredients are expected. 
EHDSMedicationObligations; ient.substance; 1..1; Substance; CodeableConcept; EMA SPOR SMS (preferred)  ; Substance 
EHDSMedicationObligations; ient.strengthInfo; 0..1; Strength of the product - amount of substance per unit; Base;   ; Strength of the product - amount of substance per unit 
EHDSMedicationObligations; ient.strengthInfo.strength; 1..1; Concentration or presentation strength, e.g '100 mg/1 ml' or '500 mg per 1 tablet'; Ratio;   ; Concentration or presentation strength, e.g '100 mg/1 ml' or '500 mg per 1 tablet' 
EHDSMedicationObligations; ient.strengthInfo.basisOfStrengthSubstance; 0..1; Substance that the strength refers to, especially when different from .item.strength.substance; CodeableConcept; EMA SPOR SMS (preferred)  ; Substance that the strength refers to, especially when different from .item.strength.substance 
EHDSMedicationObligations; Presentation; 0..1; Unit of presentation for the manufactured item (tablet, vial, tube). Typically, the smallest countable object in the package.; CodeableConcept; EDQM Standard Terms (preferred)  ; Unit of presentation for the manufactured item (tablet, vial, tube). Typically, the smallest countable object in the package. 
